Page,Src,Alt,Width,Height,Loading,Issues
"https://mclair.com.br/","/logos/logo-color.png","Mclair","","","","sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/","/logos/logo-white-hd.png","Mclair","","","","sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/","/cases-img/claudia-elisa-1.webp","","","","eager","alt vazio (ok se decorativa) | sem width/height (risco de CLS)"
"https://mclair.com.br/","/logos/logo-icone-M.png","Mclair","120","120","","sem atributo loading"
"https://mclair.com.br/","/logos/logo-icone-M.png","Mclair","52","52","","sem atributo loading"
"https://mclair.com.br/","/sobre/equipe-mclair-comunicacao-estrategica.jpg","Equipe Mclair: Agência de Comunicação Estratégica em São Paulo","","","","sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/","/cases-hero.jpg","Cases Mclair","","","","sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/","","","","","","sem src | alt vazio (ok se decorativa) | sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/","/kelly-pinheiro.jpg","","","","","alt vazio (ok se decorativa) | sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/","/depoimentos/rogerio-carvalho-automatiza-sistemas.jpg","Rogério Carvalho","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/fabiana-carvalho-vinke-zoom-mind.jpg","Fabiana Carvalho Vinke","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/elemar-jr-eximiaco.jpg","Elemar Jr.","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/eduardo-camargo-guiando.png","Eduardo Camargo","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/denis-zanini-ynusitado.png","Denis Zanini","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/rogerio-carvalho-automatiza-sistemas.jpg","Rogério Carvalho","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/fabiana-carvalho-vinke-zoom-mind.jpg","Fabiana Carvalho Vinke","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/elemar-jr-eximiaco.jpg","Elemar Jr.","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/eduardo-camargo-guiando.png","Eduardo Camargo","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/depoimentos/denis-zanini-ynusitado.png","Denis Zanini","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","https://mclair.com.br/blog-images/capa-padrao-og.png","A arte de transformar metas em realidade","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","https://mclair.com.br/blog-images/capa-padrao-og.png","Lambda3 abre 28 vagas para desenvolvedores","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","https://mclair.com.br/blog-images/capa-padrao-og.png","O lado B da produtividade em trabalho remoto","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/","/logos/logo-negativo.png","Mclair","","32","","sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/blog/","/logos/logo-color.png","Mclair","","","","sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/blog/","/logos/logo-white-hd.png","Mclair","","","","sem width/height (risco de CLS) | sem atributo loading"
"https://mclair.com.br/blog/","/cases-img/claudia-elisa-1.webp","","","","eager","alt vazio (ok se decorativa) | sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","/logos/logo-icone-M.png","Mclair","120","120","","sem atributo loading"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","A arte de transformar metas em realidade","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Lambda3 abre 28 vagas para desenvolvedores","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","O lado B da produtividade em trabalho remoto","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Perspectivas 2020 para o varejo farmacêutico","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","AQUARANTENADOS lança single ""Tudo vai dar certo""","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Dia do Orgulho Nerd: 4 dicas para celebrar a data","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Momentos de crise exigem lideranças inteligentes","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","LGPD: empresas podem ser penalizadas solidariamente","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Os parâmetros para produtividade foram redefinidos","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Em tempos de pandemia, tecnologia cria oportunidades","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Ted Lasso: Por que a série é um case de branded content?","","","lazy","sem width/height (risco de CLS)"
"https://mclair.com.br/blog/","https://mclair.com.br/blog-images/capa-padrao-og.png","Computadores não vencem humanos em debates... Por enquanto!","","","lazy","sem width/height (risco de CLS)"
