slug,url_atual,url_imagem_final,similaridade
aquarantenados-lanca-single-tudo-vai-dar-certo,https://mclair.com.br/blog/aquarantenados-lanca-single-tudo-vai-dar-certo/,https://mclair.com.br/uploads/blog/2020/aquarantenados-lanca-single-tudo-vai-dar-certo.png,1.0
o-futuro-do-home-office-e-a-realidade-pos-pandemia,https://mclair.com.br/blog/o-futuro-do-home-office-e-a-realidade-pos-pandemia/,https://mclair.com.br/uploads/blog/2020/o-futuro-do-home-office-e-a-realidade-pos-pandemia.jpg,1.0
o-dilema-da-redes-reduz-o-protagonismo-das-pessoas,https://mclair.com.br/blog/o-dilema-da-redes-reduz-o-protagonismo-das-pessoas/,https://mclair.com.br/uploads/blog/2020/o-dilema-da-redes-reduz-o-protagonismo-das-pessoas.jpg,1.0
o-que-assistir-depois-de-o-dilema-das-redes,https://mclair.com.br/blog/o-que-assistir-depois-de-o-dilema-das-redes/,https://mclair.com.br/uploads/blog/2020/o-que-assistir-depois-de-o-dilema-das-redes.jpg,1.0
empresa-de-tecnologia-adota-home-office-e-cresce-40,https://mclair.com.br/blog/empresa-de-tecnologia-adota-home-office-e-cresce-40/,https://mclair.com.br/uploads/blog/2020/empresa-de-tecnologia-adota-home-office-e-cresce-40.jpg,1.0
cinema-e-o-elixir-do-novo-marketing,https://mclair.com.br/blog/cinema-e-o-elixir-do-novo-marketing/,https://mclair.com.br/uploads/blog/2020/cinema-e-o-elixir-do-novo-marketing.jpg,1.0
canal-brasil-exibe,https://mclair.com.br/blog/canal-brasil-exibe/,https://mclair.com.br/uploads/blog/2020/canal-brasil-exibe.png,1.0
o-que-o-novo-mundo-espera-dos-lideres-do-futuro,https://mclair.com.br/blog/o-que-o-novo-mundo-espera-dos-lideres-do-futuro/,https://mclair.com.br/uploads/blog/2020/o-que-o-novo-mundo-espera-dos-lideres-do-futuro.jpg,1.0
as-ameacas-e-os-beneficios-do-reconhecimento-facial,https://mclair.com.br/blog/as-ameacas-e-os-beneficios-do-reconhecimento-facial/,https://mclair.com.br/uploads/blog/2020/as-ameacas-e-os-beneficios-do-reconhecimento-facial.jpg,1.0
4-caracteristicas-comuns-em-produtos-na-era-da,https://mclair.com.br/blog/4-caracteristicas-comuns-em-produtos-na-era-da/,https://mclair.com.br/uploads/blog/2020/4-caracteristicas-comuns-em-produtos-na-era-da.jpg,1.0
mentalidade-de-abundancia-transforma-a-lideranca,https://mclair.com.br/blog/mentalidade-de-abundancia-transforma-a-lideranca/,https://mclair.com.br/uploads/blog/2021/mentalidade-de-abundancia-transforma-a-lideranca.jpg,1.0
abrolhos-filmes-indica-15-producoes-de-2020,https://mclair.com.br/blog/abrolhos-filmes-indica-15-producoes-de-2020/,https://mclair.com.br/uploads/blog/2020/abrolhos-filmes-indica-15-producoes-de-2020.jpg,1.0
a-armadilha-do-deja-vu-na-gestao-de-um-negocio,https://mclair.com.br/blog/a-armadilha-do-deja-vu-na-gestao-de-um-negocio/,https://mclair.com.br/uploads/blog/2020/a-armadilha-do-deja-vu-na-gestao-de-um-negocio.jpg,1.0
7-tendencias-de-video-content-para-2021,https://mclair.com.br/blog/7-tendencias-de-video-content-para-2021/,https://mclair.com.br/uploads/blog/2020/7-tendencias-de-video-content-para-2021.png,1.0
guiando-tem-20-vagas-abertas-100-remoto-1,https://mclair.com.br/blog/guiando-tem-20-vagas-abertas-100-remoto-1/,https://mclair.com.br/uploads/blog/2021/guiando-tem-20-vagas-abertas-100-remoto-1.jpg,1.0
o-algoritmo-humano-por-tras-de-uma-boa-decisao,https://mclair.com.br/blog/o-algoritmo-humano-por-tras-de-uma-boa-decisao/,https://mclair.com.br/uploads/blog/2021/o-algoritmo-humano-por-tras-de-uma-boa-decisao.jpg,1.0
4-formas-de-evitar-o-vazamento-de-dados,https://mclair.com.br/blog/4-formas-de-evitar-o-vazamento-de-dados/,https://mclair.com.br/uploads/blog/2021/4-formas-de-evitar-o-vazamento-de-dados.jpg,1.0
claudia-elisa-passa-a-integrar-conselho-da-tupy,https://mclair.com.br/blog/claudia-elisa-passa-a-integrar-conselho-da-tupy/,https://mclair.com.br/uploads/blog/2021/claudia-elisa-passa-a-integrar-conselho-da-tupy.jpg,1.0
5-tecnologias-que-se-consolidaram-na-pandemia,https://mclair.com.br/blog/5-tecnologias-que-se-consolidaram-na-pandemia/,https://mclair.com.br/uploads/blog/2021/5-tecnologias-que-se-consolidaram-na-pandemia.jpg,1.0
tres-dicas-para-quem-quer-ser-um-conselheiro,https://mclair.com.br/blog/tres-dicas-para-quem-quer-ser-um-conselheiro/,https://mclair.com.br/uploads/blog/2021/tres-dicas-para-quem-quer-ser-um-conselheiro.jpg,1.0
a-tal-primeira-vez,https://mclair.com.br/blog/a-tal-primeira-vez/,https://mclair.com.br/uploads/blog/2021/a-tal-primeira-vez.jpg,1.0
ian-macdonald-e-o-novo-diretor-executivo-da-emergee,https://mclair.com.br/blog/ian-macdonald-e-o-novo-diretor-executivo-da-emergee/,https://mclair.com.br/uploads/blog/2021/ian-macdonald-e-o-novo-diretor-executivo-da-emergee.png,1.0
5-passos-para-ter-sucesso-na-venda-de-uma-pme,https://mclair.com.br/blog/5-passos-para-ter-sucesso-na-venda-de-uma-pme/,https://mclair.com.br/uploads/blog/2021/5-passos-para-ter-sucesso-na-venda-de-uma-pme.jpg,1.0
tres-licoes-que-aprendi-com-claudio-galeazzi,https://mclair.com.br/blog/tres-licoes-que-aprendi-com-claudio-galeazzi/,https://mclair.com.br/uploads/blog/2021/tres-licoes-que-aprendi-com-claudio-galeazzi.jpg,1.0
emergee-e-tivit-lancam-o-programa-agility-drops,https://mclair.com.br/blog/emergee-e-tivit-lancam-o-programa-agility-drops/,https://mclair.com.br/uploads/blog/2021/emergee-e-tivit-lancam-o-programa-agility-drops.jpeg,1.0
3-setores-beneficiados-pelo-audiovisual-em-2021,https://mclair.com.br/blog/3-setores-beneficiados-pelo-audiovisual-em-2021/,https://mclair.com.br/uploads/blog/2021/3-setores-beneficiados-pelo-audiovisual-em-2021.jpg,1.0
guiando-abre-novas-vagas-para-ti-e-outras-areas,https://mclair.com.br/blog/guiando-abre-novas-vagas-para-ti-e-outras-areas/,https://mclair.com.br/uploads/blog/2021/guiando-abre-novas-vagas-para-ti-e-outras-areas.jpg,1.0
comunicacao-nao-tem-receita-infalivel,https://mclair.com.br/blog/comunicacao-nao-tem-receita-infalivel/,https://mclair.com.br/uploads/blog/2021/comunicacao-nao-tem-receita-infalivel.jpeg,1.0
o-que-falta-para-termos-conselhos-realmente-diversos,https://mclair.com.br/blog/o-que-falta-para-termos-conselhos-realmente-diversos/,https://mclair.com.br/uploads/blog/2021/o-que-falta-para-termos-conselhos-realmente-diversos.jpg,1.0
6-dicas-para-pmes-e-startups-atrairem-investimento,https://mclair.com.br/blog/6-dicas-para-pmes-e-startups-atrairem-investimento/,https://mclair.com.br/uploads/blog/2021/6-dicas-para-pmes-e-startups-atrairem-investimento.jpg,1.0
lideranca-5-dicas-para-quem-deseja-assumir-o-posto,https://mclair.com.br/blog/lideranca-5-dicas-para-quem-deseja-assumir-o-posto/,https://mclair.com.br/uploads/blog/2021/lideranca-5-dicas-para-quem-deseja-assumir-o-posto.jpg,1.0
6-atitudes-essenciais-para-os-profissionais-ageis,https://mclair.com.br/blog/6-atitudes-essenciais-para-os-profissionais-ageis/,https://mclair.com.br/uploads/blog/2021/6-atitudes-essenciais-para-os-profissionais-ageis.jpg,1.0
valuation-quanto-vale-um-canal-no-youtube,https://mclair.com.br/blog/valuation-quanto-vale-um-canal-no-youtube/,https://mclair.com.br/uploads/blog/2021/valuation-quanto-vale-um-canal-no-youtube.jpg,1.0
a-quem-interessa-a-desigualdade-social,https://mclair.com.br/blog/a-quem-interessa-a-desigualdade-social/,https://mclair.com.br/uploads/blog/2021/a-quem-interessa-a-desigualdade-social.jpg,1.0
sua-marca-quer-ser-noticia,https://mclair.com.br/blog/sua-marca-quer-ser-noticia/,https://mclair.com.br/uploads/blog/2021/sua-marca-quer-ser-noticia.png,1.0
tres-fundamentos-para-uma-boa-governanca-da-inovacao,https://mclair.com.br/blog/tres-fundamentos-para-uma-boa-governanca-da-inovacao/,https://mclair.com.br/uploads/blog/2021/tres-fundamentos-para-uma-boa-governanca-da-inovacao.jpg,1.0
estrutura-organizacional-um-predador-da-estrategia,https://mclair.com.br/blog/estrutura-organizacional-um-predador-da-estrategia/,https://mclair.com.br/uploads/blog/2021/estrutura-organizacional-um-predador-da-estrategia.jpg,1.0
5-desafios-para-area-de-dados-e-ia,https://mclair.com.br/blog/5-desafios-para-area-de-dados-e-ia/,https://mclair.com.br/uploads/blog/2021/5-desafios-para-area-de-dados-e-ia.png,1.0
6-dicas-para-lidar-com-invasoes-hackers,https://mclair.com.br/blog/6-dicas-para-lidar-com-invasoes-hackers/,https://mclair.com.br/uploads/blog/2022/6-dicas-para-lidar-com-invasoes-hackers.jpg,1.0
os-desafios-e-impactos-do-5g-para-o-mercado,https://mclair.com.br/blog/os-desafios-e-impactos-do-5g-para-o-mercado/,https://mclair.com.br/uploads/blog/2021/os-desafios-e-impactos-do-5g-para-o-mercado.jpg,1.0
como-as-fraudes-online-afetam-o-mercado-brasileiro,https://mclair.com.br/blog/como-as-fraudes-online-afetam-o-mercado-brasileiro/,https://mclair.com.br/uploads/blog/2022/como-as-fraudes-online-afetam-o-mercado-brasileiro.jpg,1.0
tres-lugares-e-um-ponto,https://mclair.com.br/blog/tres-lugares-e-um-ponto/,https://mclair.com.br/uploads/blog/2022/tres-lugares-e-um-ponto.png,1.0
como-entender-melhor-e-liderar-a-geracao-z,https://mclair.com.br/blog/como-entender-melhor-e-liderar-a-geracao-z/,https://mclair.com.br/uploads/blog/2022/como-entender-melhor-e-liderar-a-geracao-z.jpg,1.0
expoplast-2022-destaca-inovacoes-brasileiras,https://mclair.com.br/blog/expoplast-2022-destaca-inovacoes-brasileiras/,https://mclair.com.br/uploads/blog/2022/expoplast-2022-destaca-inovacoes-brasileiras.jpg,1.0
5-dicas-para-criar-um-conselho-para-sua-startup,https://mclair.com.br/blog/5-dicas-para-criar-um-conselho-para-sua-startup/,https://mclair.com.br/uploads/blog/2023/5-dicas-para-criar-um-conselho-para-sua-startup.png,1.0
